State,First Name,Last Name,Twitter Handle,Party
AK,Lisa,Murkowski,@lisamurkowski,R
AK,Dan,Sullivan,@SenDanSullivan,R
AL,Tommy,Tuberville,@Ttuberville,R
AL,Richard,Shelby,@SenShelby,R
AR,John,Boozman,@JohnBoozman,R
AR,Tom,Cotton,@SenTomCotton,R
AZ,Mark,Kelly,@SenMarkKelly,D
AZ,Kyrsten,Sinema,@SenatorSinema,D
CA,Dianne,Feinstein,@SenFeinstein,D
CA,Alex,Padilla,@SenAlexPadilla,D
CO,Michael,Bennet,@SenatorBennet,D
CO,John,Hickenlooper,@SenatorHick,D
CT,Richard,Blumenthal,@SenBlumenthal,D
CT,Christopher,Murphy,@SenMurphyOffice,D
DE,Thomas,Carper,@SenatorCarper,D
DE,Christopher,Coons,@ChrisCoons,D
FL,Marco,Rubio,@SenRubioPress,R
FL,Rick,Scott,@SenRickScott,R
GA,Raphael,Warnock,@SenatorWarnock,D
GA,Jon,Ossoff,@SenOssoff,D
HI,Mazie,K.Hirono,@maziehirono,D
HI,Brian,Schatz,@SenBrianSchatz,D
IA,Joni,Ernst,@SenJoniErnst,R
IA,Chuck,Grassley,@ChuckGrassley,R
ID,Mike,Crapo,@MikeCrapo,R
ID,James,Risch,@SenatorRisch,R
IL,Tammy,Duckworth,@SenDuckworth,D
IL,Richard,Durbin,@SenatorDurbin,D
IN,Mike,Braun,@SenatorBraun,R
IN,Todd,Young,@SenToddYoung,R
KS,Jerry,Moran,@JerryMoran,R
KS,Roger,Marshall,@RogerMarshallMD,R
KY,Mitch,McConnell,@SenateMajLdr,R
KY,Rand,Paul,@RandPaul,R
LA,Bill,Cassidy,@SenBillCassidy,R
LA,John,Kennedy,@SenJohnKennedy,R
MA,Edward,J. Markey,@SenMarkey,D
MA,Elizabeth,Warren,@SenWarren,D
MD,Benjamin,L.Cardin,@SenatorCardin,D
MD,Chris,Van Hollen,@ChrisVanHollen,D
ME,Susan,M. Collins,@SenatorCollins,R
ME,Angus,King,@SenAngusKing,I
MI,Gary,Peters,@SenGaryPeters,D
MI,Debbie,Stabenow,@SenStabenow,D
MN,Amy,Klobuchar,@SenAmyKlobuchar,D
MN,Tina,Smith,@SenTinaSmith,D
MO,Roy,Blunt,@RoyBlunt,R
MO,Josh,Hawley,@SenHawleyPress,R
MS,Cindy,Hyde-Smith,@SenHydeSmith,R
MS,Roger,Wicker,@SenatorWicker,R
MT,Steve,Daines,@SteveDaines,R
MT,Jon,Tester,@SenatorTester,D
NC,Richard,Burr,@SenatorBurr,R
NC,Thom,Tillis,@SenThomTillis,R
ND,Kevin,Cramer,@SenKevinCramer,R
ND,John,Hoeven,@SenJohnHoeven,R
NE,Deb,Fischer,@SenatorFischer,R
NE,Ben,Sasse,@SenSasse,R
NH,Maggie,Hassan,@SenatorHassan,D
NH,Jeanne,Shaheen,@SenatorShaheen,D
NJ,Cory,Booker,@SenBooker,D
NJ,Robert,Menendez,@SenatorMenendez,D
NM,Martin,Heinrich,@MartinHeinrich,D
NM,Ben,Ray Lujan,@SenatorLujan,D
NV,Catherine,Cortez Masto,@SenCortezMasto,D
NV,Jacky,Rosen,@SenJackyRosen,D
NY,Kirsten,Gillibrand,@gillibrandny,D
NY,Chuck,Schumer,@SenSchumer,D
OH,Sherrod,Brown,@SenSherrodBrown,D
OH,Rob,Portman,@senrobportman,R
OK,James,Inhofe,@JimInhofe,R
OK,James,Lankford,@SenatorLankford,R
OR,Jeff,Merkley,@SenJeffMerkley,D
OR,Ron,Wyden,@RonWyden,D
PA,Robert,Casey,@SenBobCasey,D
PA,Patrick,Toomey,@SenToomey,R
RI,Jack,Reed,@SenJackReed,D
RI,Sheldon,Whitehouse,@SenWhitehouse,D
SC,Lindsey,Graham,@LindseyGrahamSC,R
SC,Tim,Scott,@SenatorTimScott,R
SD,Mike,Rounds,@SenatorRounds,R
SD,John,Thune,@SenJohnThune,R
TN,Bill,Hagerty,@BillHagertyTN,R
TN,Marsha,Blackburn,@MarshaBlackburn,R
TX,John,Cornyn,@JohnCornyn,R
TX,Ted,Cruz,@SenTedCruz,R
UT,Mike,Lee,@SenMikeLee,R
UT,Mitt,Romney,@SenatorRomney,R
VA,Time,Kaine,@timkaine,D
VA,Mark,Warner,@MarkWarner,D
VT,Patrick,Leahy,@SenatorLeahy,D
VT,Bernie,Sanders,@SenSanders,I
WA,Maria,Cantwell,@SenatorCantwell,D
WA,Patty,Murray,@PattyMurray,D
WI,Tammy,Baldwin,@SenatorBaldwin,D
WI,Ron,Johnson,@SenRonJohnson,R
WV,Shelley,Moore Capito,@SenCapito,R
WV,Joe,Manchin,@Sen_JoeManchin,D
WY,John,Barrasso,@SenJohnBarrasso,R
WY,Cynthia,Lummis,@SenLummis,R
